id,user,uid,version,changeset,timestamp
331297320,keithonearth,154287,1,29253672,2015-03-04T21:13:03Z
331297330,keithonearth,154287,1,29253672,2015-03-04T21:13:04Z
331297342,keithonearth,154287,1,29253672,2015-03-04T21:13:05Z
331297352,keithonearth,154287,1,29253672,2015-03-04T21:13:05Z
331297362,keithonearth,154287,1,29253672,2015-03-04T21:13:06Z
331297372,keithonearth,154287,1,29253672,2015-03-04T21:13:07Z
331340858,keithonearth,154287,1,29261068,2015-03-05T08:48:11Z
331340868,keithonearth,154287,1,29261068,2015-03-05T08:48:11Z
331340878,keithonearth,154287,1,29261068,2015-03-05T08:48:12Z
331422463,keithonearth,154287,1,29275071,2015-03-05T19:58:23Z
331422478,keithonearth,154287,1,29275071,2015-03-05T19:58:24Z
331422492,keithonearth,154287,1,29275071,2015-03-05T19:58:24Z
331422502,keithonearth,154287,1,29275071,2015-03-05T19:58:25Z
331422512,keithonearth,154287,1,29275071,2015-03-05T19:58:26Z
331422522,mappered1,4876805,2,51488604,2017-08-27T18:03:06Z
331422532,keithonearth,154287,1,29275071,2015-03-05T19:58:27Z
331422542,keithonearth,154287,1,29275071,2015-03-05T19:58:28Z
331422552,mappered1,4876805,2,51488604,2017-08-27T18:03:10Z
331422562,fmarier,24555,3,52318425,2017-09-24T02:00:05Z
331431611,fmarier,24555,2,52105849,2017-09-16T22:05:26Z
331431632,keithonearth,154287,1,29275918,2015-03-05T20:36:31Z
331431654,fmarier,24555,2,52105849,2017-09-16T22:05:29Z
331431670,keithonearth,154287,1,29275918,2015-03-05T20:36:33Z
331431681,keithonearth,154287,1,29275918,2015-03-05T20:36:33Z
331431692,keithonearth,154287,1,29275918,2015-03-05T20:36:34Z
331431704,keithonearth,154287,1,29275918,2015-03-05T20:36:35Z
331431719,keithonearth,154287,1,29275918,2015-03-05T20:36:35Z
331431734,keithonearth,154287,1,29275918,2015-03-05T20:36:36Z
331431744,keithonearth,154287,1,29275918,2015-03-05T20:36:37Z
331431755,keithonearth,154287,1,29275918,2015-03-05T20:36:37Z
331431766,keithonearth,154287,1,29275918,2015-03-05T20:36:38Z
331431777,fmarier,24555,2,52105849,2017-09-16T22:05:28Z
331442733,keithonearth,154287,1,29276961,2015-03-05T21:21:48Z
331442756,keithonearth,154287,1,29276961,2015-03-05T21:21:49Z
331442781,keithonearth,154287,1,29276961,2015-03-05T21:21:51Z
